,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
1487818,F21Q40138291,202406,0.0,"(0.102, 0.335]",CA,0.29128103258270055,0.0682040830186075
1513557,F21Q40377693,202406,0.0,"(0.102, 0.335]",TX,0.3031876005211719,0.0682040830186075
1532665,F21Q40533532,202406,0.0,"(0.000616, 0.102]",TX,0.06877379163608556,0.0021245706107615213
1542300,F21Q40629539,202406,0.0,"(0.000616, 0.102]",CA,0.027742907863594863,0.0021245706107615213
1543832,F21Q40645675,202406,0.0,"(0.102, 0.335]",IL,0.12235026186264966,0.0682040830186075
1543983,F21Q40647221,202406,0.0,"(0.335, 0.666]",TX,0.6174854062986868,0.3249699950175767
1545839,F21Q40666892,202406,0.0,"(0.000616, 0.102]",TX,0.02839340355860497,0.0021245706107615213
1560202,F21Q40783250,202406,0.0,"(0.000616, 0.102]",CA,0.008896940346296872,0.0021245706107615213
1567828,F21Q40850017,202406,0.0,"(0.000616, 0.102]",CA,0.021289323305148402,0.0021245706107615213
1591853,F22Q10201476,202406,0.0,"(0.000616, 0.102]",IL,0.008489493516210096,0.0021245706107615213
1596508,F22Q10250227,202406,0.0,"(0.000616, 0.102]",TX,0.0987745945125203,0.0021245706107615213
1596536,F22Q10250326,202406,0.0,"(0.000616, 0.102]",CA,0.08119327834518945,0.0021245706107615213
1598224,F22Q10268202,202406,0.0,"(0.000616, 0.102]",TX,0.035987205559159366,0.0021245706107615213
1599805,F22Q10285254,202406,0.0,"(0.102, 0.335]",CA,0.1034447729937017,0.0682040830186075
1612433,F22Q10397137,202406,0.0,"(0.000616, 0.102]",TX,0.01587886382382617,0.0021245706107615213
1612653,F22Q10398471,202406,0.0,"(0.000616, 0.102]",TX,0.05738290594794085,0.0021245706107615213
1617488,F22Q10441002,202406,0.0,"(0.000616, 0.102]",IL,0.08054348240317717,0.0021245706107615213
1622597,F22Q10488129,202406,0.0,"(0.000616, 0.102]",CA,0.019433502828461527,0.0021245706107615213
1625784,F22Q10521089,202406,0.0,"(0.000616, 0.102]",TX,0.019929499894627275,0.0021245706107615213
1635921,F22Q20026738,202406,0.0,"(0.102, 0.335]",TX,0.23614996928336837,0.0682040830186075
1640701,F22Q20078097,202406,0.0,"(0.000616, 0.102]",FL,0.018915777544942145,0.0021245706107615213
1644676,F22Q20120814,202406,0.0,"(0.000616, 0.102]",TX,0.04329949080141867,0.0021245706107615213
1656759,F22Q20258575,202406,0.0,"(0.000616, 0.102]",FL,0.02469832503226089,0.0021245706107615213
1657518,F22Q20266937,202406,0.0,"(0.102, 0.335]",IL,0.2150749472548391,0.0682040830186075
1658717,F22Q20279689,202406,0.0,"(0.000616, 0.102]",FL,0.01313861593370169,0.0021245706107615213
1666957,F22Q20369611,202406,0.0,"(0.000616, 0.102]",FL,0.011104328740530068,0.0021245706107615213
1678426,F22Q30058826,202406,0.0,"(0.102, 0.335]",FL,0.18514887336875477,0.0682040830186075
1682375,F22Q30104126,202406,0.0,"(0.000616, 0.102]",TX,0.007609499611140566,0.0021245706107615213
1690138,F22Q30201739,202406,0.0,"(0.000616, 0.102]",FL,0.04878634599767727,0.0021245706107615213
1691105,F22Q30213080,202406,0.0,"(0.000616, 0.102]",TX,0.02868590018998852,0.0021245706107615213
1691504,F22Q30218334,202406,0.0,"(0.000616, 0.102]",CA,0.020277982775971384,0.0021245706107615213
1695989,F22Q30280111,202406,1.0,"(0.666, 0.885]",CA,0.749123276180347,0.0
1697405,F22Q30303029,202406,0.0,"(0.000616, 0.102]",FL,0.040929409987400966,0.0021245706107615213
1699654,F22Q30329211,202406,0.0,"(0.000616, 0.102]",FL,0.025722143105567398,0.0021245706107615213
1702557,F22Q40031198,202406,0.0,"(0.102, 0.335]",FL,0.1568237742858816,0.0682040830186075
1703402,F22Q40043725,202406,0.0,"(0.000616, 0.102]",CA,0.045664620041329804,0.0021245706107615213
1708821,F22Q40128303,202406,0.0,"(0.000616, 0.102]",CA,0.0916564889278245,0.0021245706107615213
1712881,F22Q40182092,202406,1.0,"(0.335, 0.666]",TX,0.5640236292213675,0.3249699950175767
1716913,F23Q10015782,202406,0.0,"(0.102, 0.335]",TX,0.22317397489572965,0.0682040830186075
1716972,F23Q10016916,202406,0.0,"(0.000616, 0.102]",CA,0.03143918928889047,0.0021245706107615213
1720944,F23Q10083161,202406,0.0,"(0.102, 0.335]",IL,0.21679029737228858,0.0682040830186075
1724902,F23Q10144715,202406,0.0,"(0.000616, 0.102]",FL,0.0761298175056996,0.0021245706107615213
1725195,F23Q10150283,202406,0.0,"(0.000616, 0.102]",IL,0.06937071679105428,0.0021245706107615213
1728199,F23Q20017239,202406,0.0,"(0.000616, 0.102]",IL,0.05214860080699537,0.0021245706107615213
1729015,F23Q20034224,202406,0.0,"(0.000616, 0.102]",FL,0.010462766001874329,0.0021245706107615213
1730126,F23Q20054904,202406,0.0,"(0.000616, 0.102]",FL,0.010027198508074124,0.0021245706107615213
1737739,F23Q20208891,202406,0.0,"(0.000616, 0.102]",TX,0.019746195229787503,0.0021245706107615213
1738306,F23Q20224030,202406,0.0,"(0.102, 0.335]",TX,0.2560821655477247,0.0682040830186075
1738540,F23Q20228385,202406,0.0,"(0.000616, 0.102]",TX,0.04396749983911301,0.0021245706107615213
1738829,F23Q20235166,202406,0.0,"(0.000616, 0.102]",TX,0.00285300076206332,0.0021245706107615213
1739763,F23Q20254976,202406,0.0,"(0.000616, 0.102]",FL,0.02771595029419108,0.0021245706107615213
1743041,F23Q30048825,202406,0.0,"(0.000616, 0.102]",TX,0.007488060412162237,0.0021245706107615213
1743641,F23Q30063851,202406,0.0,"(0.102, 0.335]",IL,0.20339433925139166,0.0682040830186075
1746701,F23Q30143722,202406,0.0,"(0.000616, 0.102]",TX,0.006278905265125883,0.0021245706107615213
1747341,F23Q30164925,202406,0.0,"(0.000616, 0.102]",FL,0.04394465408144279,0.0021245706107615213
1749683,F23Q30225310,202406,0.0,"(0.000616, 0.102]",CA,0.025187532949512446,0.0021245706107615213
1751020,F23Q30258896,202406,0.0,"(0.000616, 0.102]",IL,0.08783576549111813,0.0021245706107615213
1752447,F23Q40042837,202406,0.0,"(0.000616, 0.102]",TX,0.027375383785276496,0.0021245706107615213
1753808,F23Q40092622,202406,0.0,"(0.000616, 0.102]",IL,0.004142891867060943,0.0021245706107615213
1754071,F23Q40101762,202406,0.0,"(0.102, 0.335]",CA,0.1124686462826146,0.0682040830186075
1758622,F24Q10111862,202406,0.0,"(0.000616, 0.102]",TX,0.06144575572998663,0.0021245706107615213
1758916,F24Q10132960,202406,0.0,"(0.000616, 0.102]",TX,0.03863514845863358,0.0021245706107615213
1759652,F24Q10193315,202406,0.0,"(0.000616, 0.102]",FL,0.022182957784727068,0.0021245706107615213
